Experiment id: 10C_pretrain_commutative_cnn_20260704_141703
Experiment run folder: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260704_141700_197670/outputs/10C/runs/10C_pretrain_commutative_cnn_20260704_141703
Per-run commutative CNN pretraining config: /run/media/fabrizio/06bb7271-2161-43a4-91f1-98f9b67e9ab2/home/fabrizio/code/ZebraFish/artifacts/campaigns/cnn_pretrain_finetune/cnn_pretrain_finetune_20260704_141700_197670/outputs/10C/runs/10C_pretrain_commutative_cnn_20260704_141703/10C_pretrain_commutative_cnn_20260704_141703_config.yaml
{'all_tensors': (2144, 20, 5, 96, 96), 'train_base_tensors': (1822, 20, 5, 96, 96), 'train_tensors': (1822, 20, 5, 96, 96), 'val_tensors': (322, 20, 5, 96, 96)}
Commutative CNN model: parameters=182,603 trainable=182,603 size=0.70 MB
cols:
    ep=epoch
    lr=learning_rate
    eta=estimated_time_remaining
    trL=train_loss
    trS=train_self_probe_loss
    trX=train_cross_probe_loss
    trP=train_prototype_alignment_loss
    trLA=train_latent_alignment_loss
     ep       lr       eta |      trL      trS      trX      trP     trLA |      vaL      vaS      vaX      vaP     vaLA
113/140 3.00e-05   4:23:19 |   0.2524   0.2524   1.8594   4.1589   0.1662 |   0.2869   0.2869   5.3667   4.1589   0.1838
114/140 3.00e-05   4:13:31 |   0.3603   0.3603   1.8397   4.1589   0.1715 |   0.2626   0.2626   5.4956   4.1589   0.1847
115/140 3.00e-05   4:03:43 |   0.1873   0.1873   1.9396   4.1589   0.1645 |   0.2235   0.2235   5.8922   4.1589   0.1862
116/140 3.00e-05   3:53:56 |   0.2493   0.2493   1.8230   4.1589   0.1670 |   0.2093   0.2093   5.9950   4.1589   0.1874
117/140 3.00e-05   3:44:07 |   0.2394   0.2394   1.9477   4.1589   0.1658 |   0.1966   0.1966   6.0864   4.1589   0.1870
118/140 3.00e-05   3:34:20 |   0.1577   0.1577   2.3851   4.1589   0.1645 |   0.1881   0.1881   6.1956   4.1589   0.1876
119/140 3.00e-05   3:24:32 |   0.1971   0.1971   2.0188   4.1589   0.1664 |   0.1749   0.1749   6.3245   4.1589   0.1856
120/140 3.00e-05   3:14:46 |   0.1574   0.1574   2.2912   4.1589   0.1622 |   0.1688   0.1688   6.3186   4.1589   0.1863
121/140 3.00e-05   3:04:59 |   0.2278   0.2278   2.8971   4.1589   0.1636 |   0.1788   0.1788   6.0017   4.1589   0.1833
122/140 3.00e-05   2:55:13 |   0.1759   0.1759   2.0771   4.1589   0.1607 |   0.1659   0.1659   6.0558   4.1589   0.1841
123/140 3.00e-05   2:45:27 |   0.1502   0.1502   2.7227   4.1589   0.1625 |   0.1712   0.1712   5.9981   4.1589   0.1812
124/140 3.00e-05   2:35:42 |   0.1557   0.1557   2.4150   4.1589   0.1619 |   0.1792   0.1792   5.8377   4.1589   0.1801
125/140 3.00e-05   2:25:56 |   0.1363   0.1363   2.5200   4.1589   0.1606 |   0.1814   0.1814   5.8647   4.1589   0.1796
126/140 1.50e-05   2:16:12 |   0.1478   0.1478   2.1531   4.1589   0.1535 |   0.1575   0.1575   6.1808   4.1589   0.1821
127/140 1.50e-05   2:06:26 |   0.1387   0.1387   2.3235   4.1589   0.1575 |   0.1541   0.1541   6.1856   4.1589   0.1824
128/140 1.50e-05   1:56:42 |   0.1539   0.1539   2.6040   4.1589   0.1593 |   0.1640   0.1640   5.9010   4.1589   0.1799
129/140 1.50e-05   1:46:58 |   0.1823   0.1823   2.0086   4.1589   0.1559 |   0.1676   0.1676   5.8262   4.1589   0.1769
130/140 1.50e-05   1:37:14 |   0.1679   0.1679   2.1757   4.1589   0.1565 |   0.1692   0.1692   5.8352   4.1589   0.1766
131/140 7.50e-06   1:27:30 |   0.1481   0.1481   2.1995   4.1589   0.1576 |   0.1636   0.1636   5.8170   4.1589   0.1758
